run,what_is_different,t_start,t_end,outcome,min_lapse,min_chi,max_abs_K,L2_Ham,L2_Mom,sep_start,sep_min,t_sep_min,sep_end,t_common_ah,ah_r_max_incode,group
place_d40_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 40, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,2.140e-01,3.908e-07,0.000,3.440e-03,0.000e+00,39.94,39.94,0.00,39.94,-,-,04_binary_headon/placement
place_d44_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 44, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,2.145e-01,3.926e-07,0.000,3.618e-03,0.000e+00,43.94,43.94,0.00,43.94,-,-,04_binary_headon/placement
place_d48_step1,"placement probe for the V1 scout: the scout's two throats at rest at d = 48, one step; per-mouth radius at t = 0 only (placement curve, subtracted from the scout's pre-contact readings)",0.00,0.01,finished clean at t = 0.01,2.149e-01,3.941e-07,0.000,3.915e-03,0.000e+00,47.94,47.94,0.00,47.94,-,-,04_binary_headon/placement
merge_orbit_flip_d12_r03000,"main arm, no damping (its __part1 files are t = 0 -> 30.5)",30.01,52.06,NaN at t = 52.06,1.000e-10,1.000e-08,1.668,4.475e-03,1.052e-02,2.66,0.30,51.63,0.60,30.01,3.44,05_binary_spiral/p012
merge_orbit_flip_d12_r05000,"narrow lapse window (1e-6 -> 1e-8, the built-in default)",,52.09,"NaN at t = 52.09 (streams lost, log only)",,,,,,,,,,,,05_binary_spiral/p012
merge_orbit_flip_d12_r04000,"wide lapse window (3e-2 -> 1e-3), full metric plotted",40.01,52.86,NaN at t = 52.86,1.000e-10,2.950e-07,2.253,4.817e-03,1.173e-02,0.92,0.36,45.31,0.51,51.06,1.00,05_binary_spiral/p012
merge_orbit_flip_d12_sg10_r05000,"wide lapse window, dissipation sigma 0.1 -> 1.0",50.01,51.68,NaN at t = 51.68,1.000e-10,1.000e-08,2.047,4.278e-03,9.590e-03,0.55,0.14,51.45,0.62,50.41,1.06,05_binary_spiral/p012
merge_orbit_flip_d12_rw_r05000,"radius window: full inside r = 0.5, off by 0.7, from t = 33",50.01,55.00,NaN at t = 55.00,1.000e-10,2.371e-06,3.087,5.673e-03,1.653e-02,0.55,0.32,52.66,0.42,51.06,1.00,05_binary_spiral/p012
merge_orbit_flip_d12_n160,160 cells per side instead of 128,0.00,53.61,NaN at t = 53.61,1.000e-10,2.095e-06,0.917,3.835e-03,9.539e-03,11.95,0.05,52.82,0.45,29.79,3.40,05_binary_spiral/p012
merge_orbit_flip_d12_ml2,max_level = 2 instead of 3,0.00,9.42,NaN at t = 9.42,2.162e-01,1.000e-08,0.509,1.442e-02,2.107e-04,11.88,11.63,7.45,12.13,-,-,05_binary_spiral/p012
merge_twin_p012_plain_t100,"p = 0.12 twin, plain superposition: merged, stopped by hand at t = 44",0.00,44.03,still running,1.901e-03,5.104e-06,0.116,7.780e-03,1.842e-02,11.94,0.81,40.40,0.81,30.80,3.38,05_binary_spiral/p012
merge_twin_p012_helfer_t100,"p = 0.12 twin, Helfer correction (auto width 4): stalled, zombie, stopped at t = 60.3",0.00,60.31,finished clean at t = 60.31,1.000e-10,4.566e-04,0.883,1.054e-01,4.652e-02,11.94,4.56,36.25,5.32,29.50,7.19,05_binary_spiral/p012
merge_twin_p012_helfer_lvl4_t100,"Helfer twin at max_level = 4: reproduces the stall, stopped by hand",0.00,48.57,still running,2.898e-05,2.489e-05,1.638,2.724e-02,2.868e-02,11.97,4.94,34.25,5.38,-,-,05_binary_spiral/p012
merge_twin_p012_helfer_lvl5_t100,"Helfer twin at max_level = 5: stalled the same, stopped at t = 31.5",0.00,32.06,still running,6.912e-02,4.647e-07,0.067,4.347e-03,2.086e-03,12.00,5.15,31.74,5.16,-,-,05_binary_spiral/p012
merge_twin_p012_helfer_w2_t060,"Helfer twin, window halved to 2.0: stalled worse (sep 5.10 at t = 32 gate), stopped at t = 33.1",0.00,33.10,still running,3.044e-03,9.502e-05,0.224,3.980e-03,2.017e-03,11.94,5.06,32.20,5.10,30.90,5.06,05_binary_spiral/p012
merge_twin_p012_cf08_t060_r05000,"floor ladder rung chi_floor 1e-8 (the reference control), restart from t = 50 with levels 4-5: healthy to t = 55.53 (h11 NaN, level 5) -- longest-lived p012 arm; level-5 scan holds a trapped shell r = 0.94 -> 0.90 over its last unit",50.01,55.52,NaN at t = 55.52,1.000e-10,1.000e-08,0.915,3.456e-03,1.477e-02,7.07,0.23,55.52,0.23,54.51,0.94,05_binary_spiral/p012
merge_twin_p012_cf10_t060_r05000,"floor ladder rung chi_floor 1e-10: NaN 0.006 after restart -- the t = 50 state is floor-regularized, restarts cannot certify floor-independence",50.01,50.04,NaN at t = 50.04,4.293e-01,3.525e-01,0.013,3.709e-03,8.001e-03,7.07,4.07,50.04,4.07,-,-,05_binary_spiral/p012
merge_twin_p012_cf12_t060_r05000,floor ladder rung chi_floor 1e-12: NaN 0.049 after restart -- same verdict as cf10,,50.00,"NaN at t = 50.00 (streams lost, log only)",,,,,,,,,,,,05_binary_spiral/p012
merge_twin_p012_nodamp_cf10_t060,"the decisive floor test: damping off AND min_chi 1e-10 from t = 0 (not a restart): NaN at t = 44.94, 6.6 units before the damping-off arm's wall at 51.53 -- a lower floor brings the wall forward, it does not remove it",0.00,44.94,NaN at t = 44.94,1.987e-03,4.092e-06,0.079,5.006e-03,1.049e-02,11.94,0.44,44.88,0.76,30.80,3.38,05_binary_spiral/p012
autopsy_nodamp_r05000_HOOKFAIL_2026-09-08,"the same restart with the report silently disarmed (params key read without its evolution. prefix): identical death, no report -- kept as the evidence behind the fix in SimulationParametersBase.hpp",50.01,51.53,NaN at t = 51.53,1.257e-03,1.000e-08,0.873,4.184e-03,9.645e-03,0.62,0.56,51.39,0.65,-,-,05_binary_spiral/p012
autopsy_nodamp_r05000,"restart of merge_twin_p012_nodamp_t060 from its t = 50 checkpoint with the per-cell NaN autopsy report armed: dies at the same step as the original (t = 51.53, h11 NaN on level 3) and the report names the cells -- ~0.8 units off the merged core, 16+ cells from any patch edge, every field overflowed to finite 1e+88..1e+163 in one step and only A_ij true NaN",50.01,51.53,NaN at t = 51.53,1.257e-03,1.000e-08,0.873,4.184e-03,9.645e-03,0.62,0.56,51.39,0.65,-,-,05_binary_spiral/p012
merge_twin_p012_lc1_t060,"gauge arm (#15), lapse_coeff 2 -> 1: blob and plunge intact (sep 0.442) but the wall moved to t = 43.64 -- wall time is gauge, not physics",0.00,43.64,NaN at t = 43.64,1.000e-10,2.844e-06,0.499,5.381e-03,1.163e-02,11.94,0.06,42.91,0.44,28.95,3.69,05_binary_spiral/p012
merge_twin_p012_nodamp_t060,damping-off arm (#14): blob nucleates identically without damping (t = 32 slices match plain to 3 decimals); wall at t = 51.53 vs plain 52.06 -- damping neither causes nor delays the wall,0.00,51.53,NaN at t = 51.53,1.257e-03,1.000e-08,0.873,4.470e-03,9.644e-03,11.94,0.36,45.20,0.65,30.80,3.38,05_binary_spiral/p012
freeze_narrow_t080_r05000,"the smooth interior fill (CoreFreezeFill r_full 1.3 / r_start 1.8) engaged at t = 53, restarted from Chk05000 at max_level 5 -- reached t = 80 with no NaN: the first p = 0.12 waveform carried past the wall",50.01,80.00,finished clean at t = 80.00,1.000e-10,1.000e-08,9.005,5.424e-03,1.835e-02,7.07,0.39,53.01,0.39,-,-,05_binary_spiral/p012_freeze
freeze_wide_t080_r05000,"the same fill one cell wider (r_full 1.5 / r_start 2.0), the seam-radius twin -- t = 80, no NaN; agrees with fill80 to five digits outside the fill and measured the propagation speed (R = 30 lags R = 14 by 18.0 over 16 units, 1.125x slower than coordinate light)",50.01,80.00,finished clean at t = 80.00,1.000e-10,1.000e-08,6.154,7.471e-03,1.422e-02,7.07,0.39,53.01,0.39,-,-,05_binary_spiral/p012_freeze
freeze_narrow_t100_r08000,fill80 continued from its t = 80 checkpoint towards t = 100 -- no NaN; its R = 30 stream completes the revised collapse window (76.1-83.6) and shows the second peak,80.01,97.15,"stopped at t = 97.15 of 100, no NaN",1.000e-10,1.000e-08,8.977,6.412e-03,1.876e-02,7.03,0.36,80.11,0.36,80.06,1.59,05_binary_spiral/p012_freeze
freeze_wide_t100_r08000,"fillwide80 continued from its t = 80 checkpoint towards t = 100, the wave-8 twin -- no NaN; the source of the stitched p = 0.12 waveform's last segment (psi4_merger_stitched_0_97.dat: r03000 0-50.5, fillwide80 50.5-79.5, fillwide100 80.5-97)",80.01,97.18,"stopped at t = 97.18 of 100, no NaN",1.000e-10,1.000e-08,6.665,8.331e-03,1.443e-02,7.03,0.36,80.11,0.36,80.06,1.00,05_binary_spiral/p012_freeze
freeze_wave_crosscheck_r09000,"Weyl-extraction smoke test (2026-09-02): fill100 restarted from Chk09000 (t = 90) with the in-code WeylExtraction stream on at the consumer's radii, to validate it against the plotfile psi4 on the same trajectory -- scratch-grade; NaN at t = 90.5",90.01,90.50,NaN at t = 90.50,4.046e-01,4.386e-01,0.019,5.949e-03,1.858e-02,7.03,0.35,90.07,0.35,90.06,1.67,05_binary_spiral/p012_freeze
freeze_wave_crosscheck_diag_r09000,the Weyl-extraction diagnostic pass: the same restart run 0.15 units (t = 90 -> 90.15) with the extraction on and no consumer -- the stream-versus-plotfile comparison that certified the in-code Weyl4 for the Phase-3 head-on arms,90.01,90.15,finished clean at t = 90.15,4.046e-01,4.386e-01,0.019,5.949e-03,1.858e-02,7.03,0.35,90.07,0.35,90.06,1.67,05_binary_spiral/p012_freeze
freeze_narrow_late_t080_r05000,(not in runs_registry.tsv),,74.57,"finished clean at t = 74.57 (streams lost, log only)",,,,,,,,,,,,05_binary_spiral/p012_freeze
ladder_L6_r05000,"refinement ladder, top rung: the p = 0.12 merger restarted from Chk05000 with max_level 6 (dx 0.0078), undamped -- h11 NaN at t = 56.13 right after a regrid; the ladder reads 52.09 / 53.10 / 55.60 / 56.13 for levels 3 / 4 / 5 / 6 and saturates (+0.53 at the last rung)",50.01,56.13,NaN at t = 56.13,1.000e-10,1.000e-08,1.621,3.244e-03,1.500e-02,7.07,0.31,56.08,0.31,55.78,0.75,05_binary_spiral/p012_ladder
ladder_L4_damped_r05000,(not in runs_registry.tsv),,53.75,"NaN at t = 53.75 (streams lost, log only)",,,,,,,,,,,,05_binary_spiral/p012_ladder
ladder_L4_r05000,(not in runs_registry.tsv),,53.09,"NaN at t = 53.09 (streams lost, log only)",,,,,,,,,,,,05_binary_spiral/p012_ladder
ladder_L5_damped_r05000,(not in runs_registry.tsv),,54.76,"NaN at t = 54.76 (streams lost, log only)",,,,,,,,,,,,05_binary_spiral/p012_ladder
ladder_L5_halfstep_r05000,(not in runs_registry.tsv),,55.96,"NaN at t = 55.96 (streams lost, log only)",,,,,,,,,,,,05_binary_spiral/p012_ladder
ladder_L5_r05000,(not in runs_registry.tsv),,55.60,"NaN at t = 55.60 (streams lost, log only)",,,,,,,,,,,,05_binary_spiral/p012_ladder
ladder_L6_damped_r05000,(not in runs_registry.tsv),,56.70,"NaN at t = 56.70 (streams lost, log only)",,,,,,,,,,,,05_binary_spiral/p012_ladder
ladder_L7_r05000,(not in runs_registry.tsv),,56.20,"NaN at t = 56.20 (streams lost, log only)",,,,,,,,,,,,05_binary_spiral/p012_ladder
merge_orbit_flip_d12_p015_nofill_t060,"scout p = 0.15 unmasked: fusing branch (plateau 0.816, dive to 0.70, core lapse rising) but pits not coincident when the wall hit at t = 53.35",0.00,53.35,NaN at t = 53.35,9.378e-05,1.000e-08,1.496,1.557e-02,1.453e-02,11.94,0.06,52.41,0.69,31.25,3.25,05_binary_spiral/p015
merge_orbit_flip_d12_p015_rr_t060,p = 0.15 rerun with insured checkpoints: wall reproduced at the same step (t = 53.35); the t = 50 seed for the phase-2 refinement is held,0.00,53.35,NaN at t = 53.35,9.378e-05,1.000e-08,1.496,1.557e-02,1.453e-02,11.94,0.06,52.41,0.69,31.25,3.25,05_binary_spiral/p015
merge_orbit_flip_d12_p015_lvl5_t060_r05000,"p = 0.15 refined restart (max_level 5 from the t = 50 seed): wall pushed only +0.88 (h11 NaN t = 54.23), no trapped surface at death, waveform still rising at 3.14e-2 -- wall-cut mid-fusion a third time",50.01,54.22,NaN at t = 54.22,3.073e-03,1.000e-08,1.155,1.529e-02,1.985e-02,7.09,0.07,53.39,0.19,-,-,05_binary_spiral/p015
merge_orbit_flip_d12_p020_t200,"scout p = 0.20: captured, stopped by hand at t = 47.8",0.00,47.85,still running,2.840e-03,8.633e-06,0.205,7.301e-03,8.273e-03,11.94,1.06,45.20,1.08,-,-,05_binary_spiral/p020
merge_orbit_flip_d12_p020_nofill_t060,"p = 0.20 unmasked, damping off: hovered at sep 1.08 from t = 46, NaN at t = 52.08",0.00,52.08,NaN at t = 52.08,3.492e-03,1.104e-05,1.982,4.737e-02,2.169e-02,11.94,1.06,45.20,1.20,52.08,2.12,05_binary_spiral/p020
merge_orbit_flip_d12_p020_lvl5_t200,"scout p = 0.20 at max_level = 5: same wall as level 3, NaN (h11) at t = 52.07",0.00,52.07,NaN at t = 52.07,3.384e-03,4.317e-08,0.723,4.238e-02,2.006e-02,12.00,0.02,42.15,1.15,-,-,05_binary_spiral/p020
merge_orbit_flip_d12_p025_t200,"scout p = 0.25: captured to sep 1.5, h11 NaN",0.00,52.98,NaN at t = 52.98,3.088e-03,2.124e-05,3.282,7.604e-02,2.639e-02,11.94,1.50,48.80,1.66,52.97,2.81,05_binary_spiral/p025
merge_orbit_flip_d12_p025_lvl5_t200,"scout p = 0.25 at max_level = 5: same wall as level 3, NaN (h11) at t = 52.79",0.00,52.79,NaN at t = 52.79,3.569e-03,9.350e-08,1.032,6.891e-02,6.203e-02,12.00,0.06,41.00,0.27,-,-,05_binary_spiral/p025
merge_orbit_flip_d12_p035_t200,"scout p = 0.35: fly-by (min sep 2.75), stopped by hand",0.00,73.93,finished clean at t = 73.93,2.251e-04,2.655e-04,1.582,4.818e-01,9.012e-02,11.94,2.75,42.40,4.01,49.25,6.56,06_binary_flyby/p035
merge_orbit_flip_d12_p045,momentum 0.45 instead of 0.12,0.00,60.01,finished clean at t = 60.01,9.786e-04,3.179e-04,0.154,1.545e-02,7.600e-03,11.94,3.95,40.00,4.61,42.30,6.19,06_binary_flyby/p045
merge_orbit_flip_d12_p045_t200,"scout p = 0.45: fly-by, the healthy control at t200",0.00,90.97,finished clean at t = 90.97,5.663e-06,9.313e-04,3.280,1.190e+00,2.679e-01,11.94,3.95,40.05,6.41,43.30,7.31,06_binary_flyby/p045
merge_orbit_flip_d12_p045_helfer_t090,,0.00,37.29,"stopped by request at t = 37.29 of 90, clean (B6 answered early: the corrected arm departs from its plain twin at t ~ 30 and grows 5x by t = 37 against a flat baseline)",1.422e-03,3.415e-04,0.451,1.535e-02,5.008e-03,11.94,7.96,30.80,8.26,-,-,06_binary_flyby/p045
bbh_control_d12_p012,"vacuum BBH control, same ADM masses/d/p as p012: merged t ~ 70, clean to t = 100",,100.00,finished clean at t = 100.00 (vacuum control: waveform streams in hand),,,,,,,,,,,,07_bbh_control
bbh_control_d12_p012_t150,"BBH control rerun to t = 150, fixed-center consumer: full ringdown in hand, instruments agree to 0.3 %, QNM fit consistent with a Kerr remnant (~15.6M / ~14.2M at R = 30)",,150.00,finished clean at t = 150.00 (vacuum control: waveform streams in hand),,,,,,,,,,,,07_bbh_control
